AGOGÔ,,categoria
675 - DUPLO - PINTURA EPOXI - MIRIM ,$ 748,
678 - DUPLO - PINTURA EPOXI ,$ 812,
679CR - DUPLO - CROMADO ,$ 1.004,
677 - TRIPLO - PINTURA EPOXI ,$ 1.020,
COD. 680 - AGOGO QUADRUPLO,$ 2.800,
ACESSÓRIO ,,categoria
BA03 - BAQUETA PARA AGOGÔ - UNIDADE,$ 36,
APITO,,categoria
METAL ,,sub
5030  -MODELO ROCKET - CROMADO ,$ 518,
MADERA,,sub
5004  - MADEIRA SAMBA ,$ 150,
5004S - MADEIRA SAMBA - TORNEADO ,$ 259,
ALFAIA,,categoria
"BME16 - 16"" - MADEIRA COM ARO DE MADEIRA, AFINAÇÃO DE CORDA ",$ 5.400,
"BME18 - 18"" - MADEIRA COM ARO DE MADEIRA, AFINAÇÃO DE CORDA ",$ 5.560,
"BME20 - 20"" - MADEIRA COM ARO DE MADEIRA, AFINAÇÃO DE CORDA ",$ 6.360,
ATABAQUE,,categoria
AFINAÇÃO DE CORDA ,,sub
"706C - TIPO TONEL - 80cm x 9"" - PI ",$ 6.040,
"707C - TIPO TONEL - 100cm x 10"" - LE ",$ 6.840,
"708C - TIPO TONEL - 120cm x 11"" - RUM ",$ 7.400,
AFINAÇÃO DE TIRANTE ,$ 1.400,sub
"706 - TIPO TONEL - 80cm x 9"" - PI - 4 TIRANTES ",$ 6.360,
"707 - TIPO TONEL - 100cm x 10"" - LE - 4 TIRANTES ",$ 7.320,
708 - TIPO TONEL - 120cm x 11 - RUM - 4 TIRANTES ,$ 7.640,
CHAVE DE AFINAÇÃO PARA TIRANTE ,,sub
889G - CHAVE DE AFINAÇÃO 16/17 ,$ 248,
CHAVE DE AFINAÇÃO PARA TIRANTE ,,sub
5997PM - SUPORTE DE CHÃO ATABAQUE PEQUENO/MÉDIO ,$ 1.604,
5997G - SUPORTE DE CHÃO PARA ATABAQUE GRANDE ,$ 1.764,
ACESSÓRIOS ,,sub
845G - TIRANTE PARA BONGO/ATABAQUE COM PORCA (PACOTE 4 UNIDADES) ,$ 470,
"847 - COLUNA PARA ATABAQUE COMPLETA, EPOXI - UNIDADE ",$ 710,
BERIMBAU,,categoria
5007 - BERIMBAU PEQUENO - VERNIZ COMPLETO ,$ 1.420,
5009 - BERIMBAU GRANDE - VERNIZ COMPLETO ,$ 1.532,
BOMBO,,categoria
INOX ,,sub
"BIN3022 - FUZILEIRO - 30cm x 22"" - 10 AFINAÇÕES ",$ 5.400,
ALUMÍNIO ,$ 1.400,sub
"BAL3022 - FUZILEIRO - 30cm x 22"" - 10 AFINAÇÕES ",$ 5.080,
"BAL3022CR - FUZILEIRO - 30cm x 22"" - 10 AFINAÇÕES - CROMADO ",$ 5.560,
MADEIRA ,$ 1.400,sub
"BME3022 - FUZILEIRO - 30cm x 22"" - 10 AFINAÇÕES",$ 4.760,
"BME3022CR - FUZILEIRO - 30cm x 22"" - 10 AFINAÇÕES - CROMADO ",$ 5.400,
CHAVE DE AFINAÇÃO ,,sub
