,INSTRUMENTOS DUROS DE ALUMÍNIO (AROS ZINCADOS),,,,categoria
,SURDO DURO ALUMÍNIO 2 NYLONS,"14""","50 x 14""",$ 5.330,
,SURDO DURO ALUMÍNIO COURO/NYLON,"16""","50 x 16""",$ 5.875,
,SURDO DURO ALUMÍNIO COURO/NYLON,"18""","50 x 18""",$ 6.816,
,SURDO DURO ALUMÍNIO COURO/NYLON,"20""","50 x 20""",$ 7.105,
,SURDO DURO ALUMÍNIO COURO/NYLON,"22""","50 x 22""",$ 7.447,
,SURDO DURO ALUMÍNIO COURO/NYLON,"24""","50 x 24""",$ 7.858,
,SURDO DURO ALUMÍNIO COURO/NYLON,"26""","50 x 26""",$ 8.662,
,SURDO DURO ALUMÍNIO COURO/NYLON,"29""","50 x 29""",$ 9.778,
,TAROL DURO ALUMÍNIO,"12""","10 x 12""",$ 2.418,
,TAROL DURO ALUMÍNIO,"14""","10 x 14""",$ 2.665,
,REPINIQUE DURO ALUMÍNIO,"10""","30 x 10""",$ 2.493,
,REPINIQUE DURO ALUMÍNIO,"12""","30 x 12""",$ 2.677,
,REPNIIQUE DURO ALUMÍNIO                                               ,"14""","30 x 14""",$ 2.895,
,"REPINIQUE MOR 14""","14""","50 x 14"" ",$ 3.805,
,CAIXA DURO ALUMÍNIO,"10""","20 x 10""",$ 2.493,
,CAIXA DURO ALUMÍNIO, 12”,"20 x 12""",$ 2.663,
,CAIXA DURO ALUMÍNIO,"14""","17 x 14""",$ 2.895,
,REPIQUE DE MÃO (ARO CONFORTÁVEL),"10""","30 x 10""",$ 3.279,
,REPIQUE DE MÃO (ARO CONFORTÁVEL),"11""","30 x 11""",$ 3.378,
,REBOLO ARO CONFORTÁVEL (CÔNICO),"10""","45 x 10""",$ 4.840,
,REBOLO ARO CONFORTÁVEL (CÔNICO),"11""","50 x 11""",$ 5.185,
,REBOLO ARO CONFORTÁVEL (CÔNICO),"12""","45 x 12""",$ 5.271,
,REBOLO ARO CONFORTÁVEL (CÔNICO),"12""","55 x 12""",$ 5.530,
,TANTAN ARO CONFORTÁVEL (RETO),"12""","45 x 12""",$ 5.323,
,TANTAN ARO CONFORTÁVEL (RETO),"14""","70 x 14""",$ 6.134,
,Cuíca Luxo                                                                      ,8,------,,
,Cuíca Luxo                                                                      ,9.5,------,,
,CUÍCA EM ALUMÍNIO,"8""","27 x 8""",$ 3.277,
,CHOCALHO PEQUENO 16cm x 22cm (36 platinelas),,,$ 1.276,
,CHOCALHO MÉDIO 16cm x 35cm (60 pltinelas),,,$ 1.535,
,CHOCALHO GRANDE 16cm x 48cm (72 platinelas),,,$ 1.794,
,CHOCALHO DE MADEIRA,,,$ 2.087,
,TAMBORIM FRISADO,"6""",,$ 1.535,
,,,,,
,RECO - RECO EM ALUMÍNIO (03 MOLAS),,,$ 1.535,
,,,,,
,RECO - RECO EM ALUMÍNIO (04 MOLAS),,,$ 1.621,
