COD.,Violões,,,PRECIO,categoria
RX201ACNF,Violão Estudante Acústico Natural Fosco (Cordas nl) c/ capa,,,$ 6.022,
RX201ACN,Violão Estudante Acústico Natural (Cordas nl) c/ capa,,,$ 6.346,
RX201ACP,Violão Estudante Acústico Preto (Cordas nl) c/ capa,,,$ 6.670,
RX205ACN,Violão Baby Estudante Acústico Natural  Infantil (Cordas nl),,,$ 5.941,
RX210ACF,Violão Studio Acústico Natural Fosco (Cordas nl)   tampo maciço,,,$ 7.350,
RX210ATF,Violão Studio Ativo 4 B. c/ Afinador Digital Natural Fosco (Cordas nl)   tampo maciço,,,$ 10.785,
RX210ACN,Violão Studio Acústico Natural (Cordas nl)  tampo maciço,,,$ 8.290,
RX210ATN,Violão Studio Ativo 4 B. c/ Afinador Digital Natural (Cordas nl)   tampo maciço,,,$ 11.724,
RX211ACN,Violão Studio Acústico Natural (Cordas aço)   tampo maciço,,,$ 8.290,
RX211ATN,Violão Studio Ativo 4 B. c/ Afinador Digital Natural (Cordas aço)   tampo maciço,,,$ 11.724,
RX320ATN,Violão Folk 6 Cordas  Ativo Ativo 2 B. FISHMAN c/ Afinador Natural (Cordas aço)   tampo maciço ,,,$ 18.318,
RX420ATN,Violão Folk 12 Cordas  Ativo Ativo 2 B. FISHMAN c/ Afinador Natural (Cordas aço)   tampo maciço ,,,$ 19.711,
RX315AT-CT,Violão Presença Brasil Folk 6 Cordas Cutaway  Ativo 4 B. c/ Afin. Crom. + Microfone Natural Fosco,,,$ 12.178,
RX415AT-CT,Violão Presença Brasil Folk 12 Cordas Cutaway  Ativo 4 B. c/ Afin. Crom. + Microfone Natural Fosco,,,$ 12.826,
RX515AT,Violão Presença Brasil Flat  Ativo 4 B. c/ Afinador Digital fosco (Cordas nl)  tampo maciço,,,$ 12.340,
RX516ATF,Violão Flat Ativo 4 B. c/ Afinador Cromático + Microfone (Cordas Aço) Natural Fosco,,,$ 11.935,
RX213ACN,Violão Clássico Acústico Natural (Cordas nl)   tampo maciço                             ,,,$ 12.567,
RX213ATN,Violão Clássico Ativo 4 B. FISHMAN c/ Afinador (Cordas nl)   tampo maciço       ,,,$ 19.565,
RX220ACN,"Violão Clássico Nogueira Acústico Natural (nl) tampo maciço, laterais e fundo Nogueira maciço + estojo",,,$ 27.503,
RX220ATN,"Violão Clássico Nogueira  Ativo 4 B. FISHMAN c/ Afin. (nl) tampo maciço, laterais e fundo Nogueira maciço + estojo",,,$ 34.502,
RX520ATN,"Violão Auditório Nogueira  Ativo 4 B. FISHMAN c/ Afin. (aço) tampo maciço, laterais e fundo Nogueira maciço + estojo",,,$ 35.133,
RX216ACN,"Violão Clássico Concertista Acústico Natural (nl) tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 32.801,
RX216ATN,"Violão Clássico Concertista Ativo 4 B. FISHMAN c/ Afin. (nl) tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 39.799,
RX208ACNF ,Violão Profissional Tenor 4 Cordas Acústico Natural Fosco (Cordas aço)   tampo maciço ,,,$ 11.530,
RX208ATNF ,Violão Profissional Tenor 4 Cordas Ativo 2 B. FISHMAN c/ Afinador Natural Fosco (Cordas aço) tampo maciço ,,,$ 15.094,
