AGOGÔ,,categoria
675 - DUPLO - PINTURA EPOXI - MIRIM ,$ 658,
678 - DUPLO - PINTURA EPOXI ,$ 710,
679CR - DUPLO - CROMADO ,$ 863,
677 - TRIPLO - PINTURA EPOXI ,$ 876,
COD. 680 - AGOGO QUADRUPLO,2400,
ACESSÓRIO ,,categoria
BA03 - BAQUETA PARA AGOGÔ - UNIDADE,$ 32,
APITO,,categoria
METAL ,,sub
5030  -MODELO ROCKET - CROMADO ,$ 460,
MADERA,,sub
5004  - MADEIRA SAMBA ,$ 136,
5004S - MADEIRA SAMBA - TORNEADO ,$ 230,
ALFAIA,,categoria
"BME16 - 16"" - MADEIRA COM ARO DE MADEIRA, AFINAÇÃO DE CORDA ",$ 4.600,
"BME18 - 18"" - MADEIRA COM ARO DE MADEIRA, AFINAÇÃO DE CORDA ",$ 4.728,
"BME20 - 20"" - MADEIRA COM ARO DE MADEIRA, AFINAÇÃO DE CORDA ",$ 5.368,
ATABAQUE,,categoria
AFINAÇÃO DE CORDA ,,sub
"706C - TIPO TONEL - 80cm x 9"" - PI ",$ 5.112,
"707C - TIPO TONEL - 100cm x 10"" - LE ",$ 5.752,
"708C - TIPO TONEL - 120cm x 11"" - RUM ",$ 6.200,
AFINAÇÃO DE TIRANTE ,,sub
"706 - TIPO TONEL - 80cm x 9"" - PI - 4 TIRANTES ",$ 5.368,
"707 - TIPO TONEL - 100cm x 10"" - LE - 4 TIRANTES ",$ 6.136,
708 - TIPO TONEL - 120cm x 11 - RUM - 4 TIRANTES ,$ 6.392,
CHAVE DE AFINAÇÃO PARA TIRANTE ,,sub
889G - CHAVE DE AFINAÇÃO 16/17 ,$ 220,
CHAVE DE AFINAÇÃO PARA TIRANTE ,,sub
5997PM - SUPORTE DE CHÃO ATABAQUE PEQUENO/MÉDIO ,$ 1.383,
5997G - SUPORTE DE CHÃO PARA ATABAQUE GRANDE ,$ 1.511,
ACESSÓRIOS ,,
845G - TIRANTE PARA BONGO/ATABAQUE COM PORCA (PACOTE 4 UNIDADES) ,$ 406,
"847 - COLUNA PARA ATABAQUE COMPLETA, EPOXI - UNIDADE ",$ 598,
BERIMBAU,,categoria
5007 - BERIMBAU PEQUENO - VERNIZ COMPLETO ,$ 1.276,
5009 - BERIMBAU GRANDE - VERNIZ COMPLETO ,$ 1.366,
BOMBO,,categoria
INOX ,,sub
