INSTRUMENTOS DUROS DE ALUMÍNIO (AROS ZINCADOS),,,,,categoria
A001,SURDO DURO ALUMÍNIO 2 NYLONS,"14""","50 x 14""",$ 4.251,
A002,SURDO DURO ALUMÍNIO COURO/NYLON,"16""","50 x 16""",$ 4.646,
A003,SURDO DURO ALUMÍNIO COURO/NYLON,"18""","50 x 18""",$ 5.328,
A004,SURDO DURO ALUMÍNIO COURO/NYLON,"20""","50 x 20""",$ 5.538,
A005,SURDO DURO ALUMÍNIO COURO/NYLON,"22""","50 x 22""",$ 5.786,
A006,SURDO DURO ALUMÍNIO COURO/NYLON,"24""","50 x 24""",$ 6.084,
A007,SURDO DURO ALUMÍNIO COURO/NYLON,"26""","50 x 26""",$ 6.667,
A008,SURDO DURO ALUMÍNIO COURO/NYLON,"29""","50 x 29""",$ 7.477,
A009,TAROL DURO ALUMÍNIO,"12""","10 x 12""",$ 1.946,
A010,TAROL DURO ALUMÍNIO,"14""","10 x 14""",$ 2.125,
A011,REPINIQUE DURO ALUMÍNIO,"10""","30 x 10""",$ 2.001,
A012,REPINIQUE DURO ALUMÍNIO,"12""","30 x 12""",$ 2.134,
A013,REPNIIQUE DURO ALUMÍNIO                                               ,"14""","30 x 14""",$ 2.292,
A014,"REPINIQUE MOR 14""","14""","50 x 14"" ",$ 2.952,
A015,CAIXA DURO ALUMÍNIO,"10""","20 x 10""",$ 2.001,
A016,CAIXA DURO ALUMÍNIO, 12”,"20 x 12""",$ 2.124,
A017,CAIXA DURO ALUMÍNIO,"14""","17 x 14""",$ 2.292,
A018,REPIQUE DE MÃO (ARO CONFORTÁVEL),"10""","30 x 10""",$ 2.570,
A019,REPIQUE DE MÃO (ARO CONFORTÁVEL),"11""","30 x 11""",$ 2.642,
A020,REBOLO ARO CONFORTÁVEL (CÔNICO),"10""","45 x 10""",$ 3.703,
A021,REBOLO ARO CONFORTÁVEL (CÔNICO),"11""","50 x 11""",$ 3.953,
A022,REBOLO ARO CONFORTÁVEL (CÔNICO),"12""","45 x 12""",$ 4.016,
A023,REBOLO ARO CONFORTÁVEL (CÔNICO),"12""","55 x 12""",$ 4.203,
A025,TANTAN ARO CONFORTÁVEL (RETO),"12""","45 x 12""",$ 4.053,
A026,TANTAN ARO CONFORTÁVEL (RETO),"14""","70 x 14""",$ 4.641,
A027,CUÍCA EM ALUMÍNIO,"8""","27 x 8""",$ 2.514,
A028,CHOCALHO PEQUENO 16cm x 22cm (36 platinelas),,,$ 1.063,
A029,CHOCALHO MÉDIO 16cm x 35cm (60 pltinelas),,,$ 1.251,
A030,CHOCALHO GRANDE 16cm x 48cm (72 platinelas),,,$ 1.438,
A031,CHOCALHO DE MADEIRA,,,$ 1.651,
A032,TAMBORIM FRISADO,"6""",,$ 1.251,
A033,Frigideira Em Aço Com Baqueta,,------,$ 500,
A034,RECO - RECO EM ALUMÍNIO (03 MOLAS),,,$ 1.251,
A035,Tamborim Profissional (Madeira),,,$ 500,
A036,RECO - RECO EM ALUMÍNIO (04 MOLAS),,,$ 1.313,
A037,TAMBORICA 4 TAMBORINS,,,$ 12.911,
A038,TAMBORICA 6 TAMBORINS,,,$ 15.789,
A039,TAMBORICA 8 TAMBORINS,,,$ 17.947,
INSTRUMENTOS EM AÇO INOXIDÁVEL,,,,,categoria
I001,BOMBO FUZILEIRO ,"20""","20 x 20""",$ 4.773,
I002,BOMBO FUZILEIRO ,"22""","30 x 22""",$ 5.360,
