AGOGÔ,,categoria,,
675 - DUPLO - PINTURA EPOXI - MIRIM ,546,,,
678 - DUPLO - PINTURA EPOXI ,624,800,850,870
679CR - DUPLO - CROMADO ,858,940,1000,1050
677 - TRIPLO - PINTURA EPOXI ,"877,5",,,
COD. 680 - AGOGO QUADRUPLO,2200,,,
ACESSÓRIO ,,categoria,,
BA03 - BAQUETA PARA AGOGÔ - UNIDADE,"24,375",,,
APITO,,categoria,,
METAL ,,sub,,
5030  -MODELO ROCKET - CROMADO ,351,,,
MADERA,,sub,,
5004  - MADEIRA SAMBA ,"87,75",,,
5004S - MADEIRA SAMBA - TORNEADO ,"175,5",,,
ALFAIA,,categoria,,
"BME16 - 16"" - MADEIRA COM ARO DE MADEIRA, AFINAÇÃO DE CORDA ","4143,75",,,
"BME18 - 18"" - MADEIRA COM ARO DE MADEIRA, AFINAÇÃO DE CORDA ","4309,5",,,
"BME20 - 20"" - MADEIRA COM ARO DE MADEIRA, AFINAÇÃO DE CORDA ","5138,25",,,
ATABAQUE,,categoria,,
AFINAÇÃO DE CORDA ,,sub,,
"706C - TIPO TONEL - 80cm x 9"" - PI ","4806,75",,,
"707C - TIPO TONEL - 100cm x 10"" - LE ","5635,5",,,
"708C - TIPO TONEL - 120cm x 11"" - RUM ","6215,625",,,
AFINAÇÃO DE TIRANTE ,,sub,,
"706 - TIPO TONEL - 80cm x 9"" - PI - 4 TIRANTES ","5138,25",,,
"707 - TIPO TONEL - 100cm x 10"" - LE - 4 TIRANTES ","6132,75",,,
708 - TIPO TONEL - 120cm x 11 - RUM - 4 TIRANTES ,"6464,25",,,
CHAVE DE AFINAÇÃO PARA TIRANTE ,,sub,,
889G - CHAVE DE AFINAÇÃO 16/17 ,"142,8765",,,
CHAVE DE AFINAÇÃO PARA TIRANTE ,,sub,,
5997PM - SUPORTE DE CHÃO ATABAQUE PEQUENO/MÉDIO ,"1143,675",,,
5997G - SUPORTE DE CHÃO PARA ATABAQUE GRANDE ,"1309,425",,,
ACESSÓRIOS ,,sub,,
845G - TIRANTE PARA BONGO/ATABAQUE COM PORCA (PACOTE 4 UNIDADES) ,"331,5",,,
"847 - COLUNA PARA ATABAQUE COMPLETA, EPOXI - UNIDADE ","580,125",,,
BERIMBAU,,categoria,,
5007 - BERIMBAU PEQUENO - VERNIZ COMPLETO ,"877,5",,,
5009 - BERIMBAU GRANDE - VERNIZ COMPLETO ,1014,,,
BOMBO,,categoria,,
INOX ,,sub,,
"BIN3022 - FUZILEIRO - 30cm x 22"" - 10 AFINAÇÕES ","4143,75",,,
ALUMÍNIO ,,sub,,
"BAL3022 - FUZILEIRO - 30cm x 22"" - 10 AFINAÇÕES ","3812,25",,,
"BAL3022CR - FUZILEIRO - 30cm x 22"" - 10 AFINAÇÕES - CROMADO ","4309,5",,,
MADEIRA ,,sub,,
"BME3022 - FUZILEIRO - 30cm x 22"" - 10 AFINAÇÕES","3480,75",,,
"BME3022CR - FUZILEIRO - 30cm x 22"" - 10 AFINAÇÕES - CROMADO ","4143,75",,,
CHAVE DE AFINAÇÃO ,,sub,,
888G - CHAVE DE AFINAÇÃO TUBULAR ,"77,9025",,,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ","165,75",,,
,,,,
ACESSÓRIOS ,,sub,,
BA19 - BAQUETA CURTA COM ALÇA - PONTA DE BORRACHA - UNIDADE,"67,9575",,,
BA20 - BAQUETA CURTA COM ALÇA - PONTA FORRADA - UNIDADE ,"78,73125",,,
830G - TIRANTE 30cm ZINCADO - COM PORCA - UNIDADE ,"46,90725",,,
842 - TALABARTE DE COURO 2 GANCHOS ,"326,5275",,,
842N - TALABARTE DE NYLON 2 GANCHOS ,"162,435",,,
BONGÔ,,categoria,,
"912PS - 6,5"" x 8""- ARO EPOXI",3315,,,
"912 - 6,5"" x 8""- CRAQUEADO - MADEIRA NOBRE ","4475,25",,,
CHAVE DE AFINAÇÃO PREÇO SUGERIDO,,sub,,
889G - CHAVE DE AFINAÇÃO 16/17 ,"142,8765",,,
ESTANTE PROFISSIONAL PREÇO SUGERIDO,,sub,,
5998 - ESTANTE PARA BONGO REFORÇADA,"2983,5",,,
ACESSÓRIO PREÇO SUGERIDO,,sub,,
845G - TIRANTE PARA BONGO/ATABAQUE COM PORCA (PACOTE 4 UNIDADES) ,"331,5",,,
CAIXA,,categoria,,
"10""",,sub,,
"BAL1010 - TAROL -10cm x 10"" - 6 AFINAÇÕES ","1657,5",,,
"12"" ",,sub,,
"BAL612 - REPIQUE - 6cm x 12"" - 6 AFINAÇÕES ","1657,5",,,
"BAL1012 - TAROL -10cm x 12"" - 6 AFINAÇÕES ","1906,125",,,
"BAL1512 - GUERRA - 15cm x 12"" - 6 AFINAÇÕES",1989,,,
"BAL2012M - MALACACHETA - 20cm x 12"" - 6 AFIN. - c/BORDÃO ","2303,925",,,
"BAL2012MPP - MALACACHETA - 20cm x 12"" - 6 AFIN. - c/BORDÃO (2 CORES)",2652,,,
COD. BAL1512CR - CAIXA ALUMINIO ARO CROMADO 12X15CM 6 BORDOES ,2300,2400,2500,2650
"BAL2012M - BAL2012M6 MALACACHETA - 20cm x 12"" - 6 AFIN. - c/BORDÃO 6 FIOS ","2469,675",,,
"14""",,sub,,
ALUMÍNIO,,sub,,
