COD.,Violões,,,PRECIO,categoria
RX201ACNF,Violão Estudante Acústico Natural Fosco (Cordas nl) c/ capa,,,$ 3.899,
RX201ACN,Violão Estudante Acústico Natural (Cordas nl) c/ capa,,,$ 4.080,
RX201ACP,Violão Estudante Acústico Preto (Cordas nl) c/ capa,,,$ 4.260,
RX205ACN,Violão Baby Estudante Acústico Natural  Infantil (Cordas nl),,,$ 3.854,
RX210ACF,Violão Studio Acústico Natural Fosco (Cordas nl)   tampo maciço,,,$ 4.639,
RX210ATF,Violão Studio Ativo 4 B. c/ Afinador Digital Natural Fosco (Cordas nl)   tampo maciço,,,$ 6.553,
RX210ACN,Violão Studio Acústico Natural (Cordas nl)  tampo maciço,,,$ 5.163,
RX210ATN,Violão Studio Ativo 4 B. c/ Afinador Digital Natural (Cordas nl)   tampo maciço,,,$ 7.077,
RX211ACN,Violão Studio Acústico Natural (Cordas aço)   tampo maciço,,,$ 5.163,
RX211ATN,Violão Studio Ativo 4 B. c/ Afinador Digital Natural (Cordas aço)   tampo maciço,,,$ 7.077,
RX320ATN,Violão Folk 6 Cordas  Ativo Ativo 2 B. FISHMAN c/ Afinador Natural (Cordas aço)   tampo maciço ,,,$ 10.752,
RX420ATN,Violão Folk 12 Cordas  Ativo Ativo 2 B. FISHMAN c/ Afinador Natural (Cordas aço)   tampo maciço ,,,$ 11.528,
RX315AT-CT,Violão Presença Brasil Folk 6 Cordas Cutaway  Ativo 4 B. c/ Afin. Crom. + Microfone Natural Fosco,,,$ 7.330,
RX415AT-CT,Violão Presença Brasil Folk 12 Cordas Cutaway  Ativo 4 B. c/ Afin. Crom. + Microfone Natural Fosco,,,$ 7.691,
RX515AT,Violão Presença Brasil Flat  Ativo 4 B. c/ Afinador Digital fosco (Cordas nl)  tampo maciço,,,$ 7.420,
RX516ATF,Violão Flat Ativo 4 B. c/ Afinador Cromático + Microfone (Cordas Aço) Natural Fosco,,,$ 7.194,
RX213ACN,Violão Clássico Acústico Natural (Cordas nl)   tampo maciço                             ,,,$ 7.547,
RX213ATN,Violão Clássico Ativo 4 B. FISHMAN c/ Afinador (Cordas nl)   tampo maciço       ,,,$ 11.447,
RX220ACN,"Violão Clássico Nogueira Acústico Natural (nl) tampo maciço, laterais e fundo Nogueira maciço + estojo",,,$ 15.871,
RX220ATN,"Violão Clássico Nogueira  Ativo 4 B. FISHMAN c/ Afin. (nl) tampo maciço, laterais e fundo Nogueira maciço + estojo",,,$ 19.772,
RX520ATN,"Violão Auditório Nogueira  Ativo 4 B. FISHMAN c/ Afin. (aço) tampo maciço, laterais e fundo Nogueira maciço + estojo",,,$ 20.124,
RX216ACN,"Violão Clássico Concertista Acústico Natural (nl) tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 18.824,
RX216ATN,"Violão Clássico Concertista Ativo 4 B. FISHMAN c/ Afin. (nl) tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 22.724,
RX208ACNF ,Violão Profissional Tenor 4 Cordas Acústico Natural Fosco (Cordas aço)   tampo maciço ,,,$ 6.969,
RX208ATNF ,Violão Profissional Tenor 4 Cordas Ativo 2 B. FISHMAN c/ Afinador Natural Fosco (Cordas aço) tampo maciço ,,,$ 8.955,
RX207ACN-E,Violão Estudante 7 Cordas  Acústico Natural (Cordas nl),,,$ 5.506,
RX207ATN-E,Violão Estudante 7 Cordas  Ativo 4 B. c/ Afinador Digital Natural (Cordas nl),,,$ 7.420,
RX207ACN-P,Violão Profissional 7 Cordas  Acústico Natural (Cordas nl)   tampo maciço ,,,$ 7.817,
RX207ATN-P,Violão Profissional 7 Cordas  Ativo 4 B. c/ Afinador Natural (Cordas nl)   tampo maciço ,,,$ 9.732,
